         311450535 function calls (311430752 primitive calls) in 153.302 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 minidom.py:470(NamedNodeMap)
       90    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       72    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
       13    0.000    0.000    0.006    0.000 enum.py:434(_convert_)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
      231    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       43    0.000    0.000    0.002    0.000 abc.py:84(__new__)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      167    0.000    0.000    0.000    0.000 QualityIO.py:476(phred_quality_from_solexa)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:591(_code_to_timestamp_pyc)
      218    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
    31/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      224    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      327    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 Scanner.py:42(InsdcScanner)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      219    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        8    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
    41/37    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
       55    0.000    0.000    0.000    0.000 enum.py:473(_get_mixins_)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
      126    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.002    0.002 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       44    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 arrayprint.py:474(decorating_function)
        1    0.000    0.000    0.744    0.744 files.py:23(get_alignment_and_format)
      124    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.034    0.034 __init__.py:10(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6665(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
      156    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      253    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       24    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       62    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       52    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
       78    0.000    0.000    0.000    0.000 CodonTable.py:63(__init__)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      237    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x1093ea8b0}
        1    0.000    0.000    0.000    0.000 ssl.py:474(SSLContext)
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       10    0.000    0.000    0.000    0.000 argparse.py:1337(add_argument)
       21    0.000    0.000    0.000    0.000 enum.py:119(__prepare__)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
      228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
      253    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       71    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       21    0.000    0.000    0.000    0.000 enum.py:146(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
       62    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.010    0.010 defmatrix.py:1(<module>)
      109    0.000    0.000    0.001    0.000 re.py:186(match)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.000    0.000    0.000    0.000 QualityIO.py:752(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1020(set_data)
        1    0.000    0.000    0.322    0.322 clipkit.py:3(<module>)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        5    0.000    0.000    0.000    0.000 argparse.py:1255(__init__)
        1    0.000    0.000    0.032    0.032 client.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        2    0.000    0.000    0.061    0.031 __init__.py:7(<module>)
      361    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       52    0.000    0.000    0.000    0.000 types.py:171(__get__)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
        8    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 core.py:2717(MaskedArray)
        1    0.000    0.000    0.000    0.000 QualityIO.py:547(<dictcomp>)
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 IUPACData.py:7(<module>)
       64    0.000    0.000    0.028    0.000 re.py:248(compile)
        1    0.000    0.000    0.000    0.000 QualityIO.py:677(<dictcomp>)
       11    0.000    0.000    0.000    0.000 typing.py:897(__init_subclass__)
